Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L
8_F_2_Day_3_LT,8,CPC,F,D,Day_3,Spring,LT,117.84,0.71,-0.0178,0.000043,0.15,0.15,0.0567,0.0436
8_F_across_2_Day_1_HT,8,CPC,F_across,D,Day_1,Neap,HT,113.12,0.98,0.0178,0.00006,0.15,0.15,0.119,0.0915
8_F_across_2_Day_1_LT,8,CPC,F_across,D,Day_1,Neap,LT,113.12,0.92,-0.0209,0.000066,0.15,0.15,0.0849,0.0653
8_F_across_2_Day_2_HT,8,CPC,F_across,D,Day_2,Spring,HT,113.12,0.98,0.0192,0.000064,0.15,0.15,0.0469,0.0361
8_F_across_2_Day_2_LT,8,CPC,F_across,D,Day_2,Spring,LT,113.12,0.92,-0.018,0.000057,0.15,0.15,0.0333,0.0256
8_F_across_2_Day_3_HT,8,CPC,F_across,D,Day_3,Spring,HT,113.12,0.98,0.0196,0.000066,0.15,0.15,0.0681,0.0524
8_F_across_2_Day_3_LT,8,CPC,F_across,D,Day_3,Spring,LT,113.12,0.92,-0.018,0.000057,0.15,0.15,0.0619,0.0476
8_G_2_Day_1_HT,8,CPC,G,F,Day_1,Neap,HT,34.86,0.63,0.0158,0.000034,0.15,0.15,0.0932,0.0717
8_G_2_Day_1_LT,8,CPC,G,F,Day_1,Neap,LT,34.86,0.59,-0.0134,0.000027,0.15,0.15,0.1282,0.0986
8_G_2_Day_2_HT,8,CPC,G,F,Day_2,Spring,HT,34.86,0.63,0.0134,0.000029,0.15,0.15,0.1154,0.0888
8_G_2_Day_2_LT,8,CPC,G,F,Day_2,Spring,LT,34.86,0.59,-0.0111,0.000022,0.15,0.15,0.0618,0.0475
8_G_2_Day_3_HT,8,CPC,G,F,Day_3,Spring,HT,34.86,0.63,0.0124,0.000027,0.15,0.15,0.0137,0.0105
8_G_2_Day_3_LT,8,CPC,G,F,Day_3,Spring,LT,34.86,0.59,-0.012,0.000024,0.15,0.15,0.1139,0.0876
8_H_2_Day_1_HT,8,CPC,H,F_across,Day_1,Neap,HT,83.91,0.65,0.0114,0.000025,0.15,0.15,0.0497,0.0382
8_H_2_Day_1_LT,8,CPC,H,F_across,Day_1,Neap,LT,83.91,0.57,-0.0104,0.00002,0.15,0.15,0.0883,0.0679
8_H_2_Day_2_HT,8,CPC,H,F_across,Day_2,Spring,HT,83.91,0.65,0.0125,0.000028,0.15,0.15,0.1123,0.0864
8_H_2_Day_2_LT,8,CPC,H,F_across,Day_2,Spring,LT,83.91,0.57,-0.0106,0.000021,0.15,0.15,0.0724,0.0557
8_H_2_Day_3_HT,8,CPC,H,F_across,Day_3,Spring,HT,83.91,0.65,0.0108,0.000024,0.15,0.15,0.0555,0.0427
8_H_2_Day_3_LT,8,CPC,H,F_across,Day_3,Spring,LT,83.91,0.57,-0.0133,0.000026,0.15,0.15,0.0094,0.0072
14_I_2_Day_1_HT,14,LC,I,Dutch_Canal,Day_1,Neap,HT,0,1.09,0.0279,0.000104,0.15,0.15,0.125,0.1
14_I_2_Day_1_LT,14,LC,I,Dutch_Canal,Day_1,Neap,LT,0,0.98,-0.0169,0.000057,0.15,0.15,0.05,0.04
