Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Settling_Velocity_w_m_s,Modelled_s0,Peclet_Number,Residual,Abs_Error,Squared_Error
8_D_2_Day_2_LT,8,CPC,D,C,Day_2,Spring,LT,50.78,0.68,-0.0117,2.7e-05,0.15,0.15,0.0826,0.0635,0.0005,386.83801126067215,3.9608400000000006,-386.77451126067217,386.77451126067217,149594.52256093183
8_E_2_Day_2_HT,8,CPC,E,D,Day_2,Spring,HT,78.96,0.73,0.0162,4e-05,0.15,0.15,0.0567,0.0436,0.0005,1322.0144677609308,8.52768,-1321.9708677609308,1321.9708677609308,1747606.9752085884
8_E_2_Day_2_LT,8,CPC,E,D,Day_2,Spring,LT,78.96,0.66,-0.0132,3e-05,0.15,0.15,0.1231,0.0947,0.0005,1322.0124819204682,6.948479999999999,-1321.917781920468,1321.917781920468,1747466.6221575302
8_H_2_Day_2_HT,8,CPC,H,F_across,Day_2,Spring,HT,83.91,0.65,0.0125,2.8e-05,0.15,0.15,0.1123,0.0864,0.0005,1056.1911693526354,6.992500000000001,-1056.1047693526355,1056.1047693526355,1115357.2838493832
8_H_2_Day_2_LT,8,CPC,H,F_across,Day_2,Spring,LT,83.91,0.57,-0.0106,2.1e-05,0.15,0.15,0.0724,0.0557,0.0005,1056.1683483716229,5.92964,-1056.112648371623,1056.112648371623,1115373.9260505233
8_F_across_2_Day_2_HT,8,CPC,F_across,D,Day_2,Spring,HT,113.12,0.98,0.0192,6.4e-05,0.15,0.15,0.0469,0.0361,0.0005,2306.236346129682,14.479360000000002,-2306.200246129682,2306.200246129682,5318559.575248606
8_F_across_2_Day_2_LT,8,CPC,F_across,D,Day_2,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.15,0.15,0.0333,0.0256,0.0005,2306.252462641708,13.574399999999999,-2306.226862641708,2306.226862641708,5318682.341970216
8_F_2_Day_2_HT,8,CPC,F,D,Day_2,Spring,HT,117.84,0.76,0.0185,4.8e-05,0.15,0.15,0.119,0.0915,0.0005,2469.735788983705,14.5336,-2469.644288983705,2469.644288983705,6099142.914109829
8_F_2_Day_2_LT,8,CPC,F,D,Day_2,Spring,LT,117.84,0.71,-0.0148,3.6e-05,0.15,0.15,0.097,0.0746,0.0005,2469.7481403917445,11.62688,-2469.6735403917446,2469.6735403917446,6099287.396111094
8_G_2_Day_3_HT,8,CPC,G,F,Day_3,Spring,HT,34.86,0.63,0.0124,2.7e-05,0.15,0.15,0.0137,0.0105,0.0005,182.29202546843334,2.88176,-182.28152546843333,182.28152546843333,33226.554527099106
8_G_2_Day_3_LT,8,CPC,G,F,Day_3,Spring,LT,34.86,0.59,-0.012,2.4e-05,0.15,0.15,0.1139,0.0876,0.0005,182.35242680423968,2.7888,-182.26482680423968,182.26482680423968,33220.46708997949
8_D_2_Day_3_HT,8,CPC,D,C,Day_3,Spring,HT,50.78,0.73,0.0178,4.4e-05,0.15,0.15,0.0939,0.0722,0.0005,386.85142305832693,6.025893333333333,-386.7792230583269,386.7792230583269,149598.167389603
8_D_2_Day_3_LT,8,CPC,D,C,Day_3,Spring,LT,50.78,0.68,-0.0136,3.2e-05,0.15,0.15,0.0732,0.0563,0.0005,386.8384810712175,4.604053333333334,-386.78218107121745,386.78218107121745,149600.45559420803
8_E_2_Day_3_HT,8,CPC,E,D,Day_3,Spring,HT,78.96,0.73,0.0178,4.4e-05,0.15,0.15,0.119,0.0915,0.0005,1322.0299432066863,9.369919999999999,-1321.9384432066863,1321.9384432066863,1747521.2476277174
8_E_2_Day_3_LT,8,CPC,E,D,Day_3,Spring,LT,78.96,0.66,-0.014,3.2e-05,0.15,0.15,0.0785,0.0604,0.0005,1322.0258458780977,7.3696,-1321.9654458780976,1321.9654458780976,1747592.6400956775
8_H_2_Day_3_HT,8,CPC,H,F_across,Day_3,Spring,HT,83.91,0.65,0.0108,2.4e-05,0.15,0.15,0.0555,0.0427,0.0005,1056.1571405914087,6.04152,-1056.1144405914088,1056.1144405914088,1115377.7116257043
8_H_2_Day_3_LT,8,CPC,H,F_across,Day_3,Spring,LT,83.91,0.57,-0.0133,2.6e-05,0.15,0.15,0.0094,0.0072,0.0005,1056.1376258679497,7.44002,-1056.1304258679497,1056.1304258679497,1115411.476444017
8_F_across_2_Day_3_HT,8,CPC,F_across,D,Day_3,Spring,HT,113.12,0.98,0.0196,6.6e-05,0.15,0.15,0.0681,0.0524,0.0005,2306.2611882658807,14.781013333333334,-2306.2087882658807,2306.2087882658807,5318598.975074782
8_F_across_2_Day_3_LT,8,CPC,F_across,D,Day_3,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.15,0.15,0.0619,0.0476,0.0005,2306.2480295542837,13.574399999999999,-2306.200429554284,2306.200429554284,5318560.421276364
8_F_2_Day_3_HT,8,CPC,F,D,Day_3,Spring,HT,117.84,0.76,0.0149,3.9e-05,0.15,0.15,0.0653,0.0502,0.0005,2469.774395532908,11.705440000000001,-2469.7241955329077,2469.7241955329077,6099537.602000669
8_F_2_Day_3_LT,8,CPC,F,D,Day_3,Spring,LT,117.84,0.71,-0.0178,4.3e-05,0.15,0.15,0.0567,0.0436,0.0005,2469.762165094999,13.98368,-2469.718565094999,2469.718565094999,6099509.790774901
14_I_2_Day_1_HT,14,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.09,0.0279,0.000104,0.15,0.15,0.125,0.1,0.0005,0.1,0.0,0.0,0.0,0.0
14_I_2_Day_1_LT,14,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.98,-0.0169,5.7e-05,0.15,0.15,0.05,0.04,0.0005,0.04,0.0,0.0,0.0,0.0
14_J_2_Day_1_HT,14,LC,J,I,Day_1,Neap,HT,62.89,1.09,0.0279,0.000104,0.15,0.15,0.119,0.0915,0.0005,593.3658847802783,11.69754,-593.2743847802783,593.2743847802783,351974.4956364177
